episode,avg_reward,avg_loss,avg_qmax,epsilon
561,-0.2825,0.0000,nan,0.0598
562,-0.0321,0.0000,nan,0.0595
563,-0.3369,0.0000,nan,0.0592
564,-0.0240,nan,nan,0.0589
565,-0.1537,0.0000,nan,0.0586
566,-0.0578,0.0000,nan,0.0583
567,-0.0502,0.0000,nan,0.0580
568,-0.0661,nan,nan,0.0577
569,-0.4275,0.0000,nan,0.0574
570,-0.0896,0.0000,nan,0.0571
571,-0.1113,0.0000,nan,0.0569
572,-1.1485,nan,nan,0.0566
573,0.1023,0.0000,nan,0.0563
574,-0.0314,0.0000,nan,0.0560
575,-0.2208,0.0000,nan,0.0557
576,0.1115,nan,nan,0.0555
577,-0.2609,0.0000,nan,0.0552
578,-0.4428,0.0000,nan,0.0549
579,-0.1650,0.0000,nan,0.0546
580,-0.2195,nan,nan,0.0544
581,-0.2572,0.0000,nan,0.0541
582,-0.5209,0.0000,nan,0.0538
583,-0.5916,0.0000,0.0000,0.0535
584,-0.0523,nan,nan,0.0533
585,-0.5130,0.0000,nan,0.0530
586,-0.3676,0.0000,nan,0.0527
587,-0.1161,0.0000,nan,0.0525
588,-0.2970,0.0000,nan,0.0522
589,-0.5996,0.0000,nan,0.0520
590,-0.5179,nan,nan,0.0517
591,-0.6037,0.0000,nan,0.0514
592,0.0625,0.0000,nan,0.0512
593,-0.4712,0.0000,nan,0.0509
594,-0.2322,0.0000,nan,0.0507
595,0.1889,0.0000,nan,0.0504
596,-0.1503,nan,nan,0.0502
597,-0.4129,0.0000,nan,0.0499
598,-0.4938,0.0000,nan,0.0497
599,0.0000,0.0000,nan,0.0494
600,0.2743,0.0000,nan,0.0492
601,-0.2122,0.0000,0.0000,0.0489
602,-0.1292,nan,nan,0.0487
603,-0.3897,0.0000,nan,0.0484
604,-0.6807,0.0000,nan,0.0482
605,-0.2336,0.0000,nan,0.0479
606,0.2040,nan,nan,0.0477
607,-0.1158,0.0000,0.0000,0.0475
608,-0.0074,0.0000,nan,0.0472
609,-0.4588,0.0000,nan,0.0470
610,-0.1440,0.0000,nan,0.0468
611,-0.2297,0.0000,nan,0.0465
612,-0.3235,nan,nan,0.0463
613,-0.0267,0.0000,nan,0.0461
614,-0.0015,0.0000,nan,0.0458
615,-0.7484,0.0000,nan,0.0456
616,-0.0525,0.0000,nan,0.0454
617,-0.4286,0.0000,nan,0.0452
618,0.1050,nan,nan,0.0449
619,-0.0673,0.0000,nan,0.0447
620,-0.6781,0.0000,nan,0.0445
621,-0.4060,0.0000,nan,0.0443
622,0.3204,0.0000,nan,0.0440
623,-0.3159,0.0000,nan,0.0438
624,-0.3907,nan,nan,0.0436
625,-0.0581,0.0000,nan,0.0434
626,-0.4468,0.0000,nan,0.0432
627,-0.4373,0.0000,nan,0.0429
628,-0.2396,nan,nan,0.0427
629,-0.0444,0.0000,nan,0.0425
630,-0.0034,0.0000,nan,0.0423
631,-0.0031,0.0000,nan,0.0421
632,-0.1259,nan,nan,0.0419
633,-0.1956,0.0000,nan,0.0417
634,-0.2571,0.0000,nan,0.0415
635,2.4114,0.0000,nan,0.0413
636,-0.2386,nan,nan,0.0410
637,-0.0601,0.0000,0.0000,0.0408
638,-0.0512,0.0000,nan,0.0406
639,-0.3932,0.0000,nan,0.0404
640,-0.1381,nan,nan,0.0402
641,1.1280,0.0000,nan,0.0400
642,-0.0677,0.0000,nan,0.0398
643,-0.2165,0.0000,nan,0.0396
644,-0.8272,0.0000,nan,0.0394
645,2.5147,0.0000,nan,0.0392
646,-0.1294,nan,nan,0.0390
647,-1.0367,0.0000,nan,0.0388
648,0.1403,0.0000,nan,0.0387
649,-0.7390,0.0000,nan,0.0385
650,-0.3064,0.0000,nan,0.0383
651,-1.0052,0.0000,nan,0.0381
652,-0.7908,nan,nan,0.0379
653,-0.5003,0.0000,nan,0.0377
654,0.0391,0.0000,nan,0.0375
655,-0.6010,0.0000,nan,0.0373
656,-0.1288,nan,nan,0.0371
657,-0.8549,0.0000,nan,0.0369
658,-0.0183,0.0000,nan,0.0368
659,-0.3451,0.0000,nan,0.0366
660,-0.1247,0.0000,nan,0.0364
661,-0.4724,nan,nan,0.0362
662,0.0303,0.0000,nan,0.0360
663,-0.1248,0.0000,nan,0.0359
664,0.0383,0.0000,nan,0.0357
665,-0.3727,0.0000,nan,0.0355
666,-0.0501,nan,nan,0.0353
667,-0.1979,0.0000,nan,0.0351
