learn_step,loss
1174,0.0794
1175,0.0967
1176,0.1652
1177,0.0951
1178,0.0952
1179,0.1780
1180,0.1048
1181,52.0089
1182,0.1512
1183,0.1325
1184,0.1436
1185,0.0913
1186,51.8264
1187,0.0959
1188,0.1618
1189,6.6246
1190,0.1112
1191,0.1053
1192,0.1232
1193,0.1025
1194,0.1898
1195,0.1899
1196,0.1268
1197,0.0820
1198,0.1352
1199,0.1110
1200,0.1372
1201,0.1199
1202,0.2003
1203,0.1540
1204,0.1112
1205,0.0946
1206,0.1259
1207,2.4428
1208,0.1357
1209,0.0836
1210,0.0989
1211,0.0535
1212,0.1037
1213,0.1857
1214,0.1549
1215,0.1710
1216,0.1537
1217,0.1023
1218,0.0838
1219,0.1907
1220,0.1088
1221,0.1022
1222,0.1448
1223,0.0858
1224,0.1167
1225,0.2568
1226,0.1649
1227,0.1708
1228,0.2362
1229,0.2456
1230,0.1714
1231,0.1442
1232,0.0949
1233,0.1106
1234,0.1349
1235,0.1026
1236,47.5296
1237,0.1375
1238,0.1356
1239,0.1031
1240,0.1537
1241,0.1999
1242,0.0984
1243,0.1144
1244,47.7001
1245,0.1695
1246,0.0759
1247,0.0818
1248,46.9842
1249,0.1237
1250,0.1360
1251,0.1460
1252,39.9534
1253,0.1542
1254,32.1123
1255,0.1855
1256,0.2377
1257,0.1005
1258,0.1412
1259,0.0617
1260,0.0539
1261,0.0909
1262,0.1368
1263,0.1254
1264,0.1459
1265,0.1193
1266,0.1407
1267,0.0798
1268,0.1758
1269,0.1470
1270,0.1090
1271,0.2334
1272,0.1358
1273,0.0946
1274,0.1539
1275,0.1076
1276,0.1828
1277,0.1285
1278,0.1360
1279,0.1194
1280,0.1251
1281,0.1012
1282,0.1472
1283,0.2839
1284,0.1496
1285,0.1094
1286,0.1212
1287,0.1520
1288,51.2677
1289,0.0695
1290,0.0893
1291,0.1499
1292,0.1044
1293,0.1611
1294,0.1065
1295,47.8360
1296,0.1196
1297,0.2075
1298,0.1246
1299,0.0992
1300,0.0705
1301,0.0854
1302,0.1721
1303,0.2059
1304,0.1478
1305,0.1207
1306,0.1178
1307,0.1084
1308,0.1665
1309,0.2573
1310,0.1486
1311,0.5640
1312,15.8734
1313,0.0637
1314,0.1498
1315,0.1522
1316,0.1243
1317,31.5498
1318,0.0782
1319,51.0174
1320,0.1250
1321,0.1806
1322,0.1292
1323,0.0814
1324,0.0831
1325,0.0694
1326,0.1528
1327,0.0977
1328,0.0519
1329,25.2213
1330,0.1615
1331,0.3711
1332,0.1550
1333,0.1192
1334,0.1685
1335,0.1063
1336,0.1190
1337,0.0987
1338,0.1227
1339,0.1562
1340,0.1525
1341,0.1217
1342,0.0945
1343,0.1564
